Todo,InProgress,Review,Done
.gitignore,Sakthisundar Arivudainambi,Sakthisundar Arivudainambi,Checked
Readme.md,Sakthisundar Arivudainambi,,
Calculator.py,Sakthisundar Arivudainambi,,
Addition.py,Sakthisundar Arivudainambi,,
Subtraction.py,Sakthisundar Arivudainambi,,
Multiplication.py,Sakthisundar Arivudainambi,,
Division.py,Sakthisundar Arivudainambi,,
Square.py,Sakthisundar Arivudainambi,,
Square Root.py,Sakthisundar Arivudainambi,,
CalculatorTest.py,Sakthisundar Arivudainambi,,
CsvReader.py,Sakthisundar Arivudainambi,,
absolutepath.py,Sakthisundar Arivudainambi,,
Dockerfile,Sakthisundar Arivudainambi,,
Statistics.py,Sakthisundar Arivudainambi,,
Median.py,Sakthisundar Arivudainambi,,
Mean.py,Sakthisundar Arivudainambi,,
Mode.py,Sakthisundar Arivudainambi,,
Variance.py,Sakthisundar Arivudainambi,,
Standard Deviation.py,Sakthisundar Arivudainambi,,
Z Score.py,Sakthisundar Arivudainambi,,
Cochran.py,Dhaval Dipen Patania,,
Margin of Error.py,Dhaval Dipen Patania,,
Confidence Interval.py,Dhaval Dipen Patania,,
Simple Random Sampling.py,Dhaval Dipen Patania,,
Sample Size.py,Dhaval Dipen Patania,,
RandomGenerator.py,Dhaval Dipen Patania,,
Median.md,Dhaval Dipen Patania,,
Mean.md,Dhaval Dipen Patania,,
Mode.md,Dhaval Dipen Patania,,
Variance.md,Dhaval Dipen Patania,,
Standard Deviation.md,Dhaval Dipen Patania,,
Z Score.md,Dhaval Dipen Patania,,
Cochran.md,Dhaval Dipen Patania,,
Margin of Error.md,Dhaval Dipen Patania,,
Confidence Interval.md,Dhaval Dipen Patania,,
Simple Random Sampling.md,Dhaval Dipen Patania,,
Sample Size.md,Dhaval Dipen Patania,,
RandomGenerator.md,Dhaval Dipen Patania,,
StatisticsTest.py,"Sakthisundar Arivudainambi, Dhaval Dipen Patania",,
Travisfile,Sakthisundar Arivudainambi,,
requirements.txt,Sakthisundar Arivudainambi,,
